source_analysis_id	source_seqid	matched_seqid	source_target_symbol	source_label	trait_ontology_name	trait_ontology_id	target_full_name	entrez_id	ensembl_gene_id	gene_name	chromosome	gene_start	gene_end	strand	gene_biotype	genome_build	is_primary_chromosome	mhc	target_resolution_method	target_resolution_notes	mapping_status	mapping_source	somascan_db_version	coordinate_source	coordinate_source_url
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5565	ENSG00000131791	PRKAB2	1	147155106	147173716	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240265	5245-40	5245-40	PRKAA2	AMP Kinase (alpha2beta2gamma1) levels (PRKAA2.PRKAB2.PRKAG1.5245.40.5)	amp kinase (alpha2beta2gamma1) measurement	http://www.ebi.ac.uk/efo/EFO_0020143	AMP Kinase (alpha2beta2gamma1)	5571	ENSG00000181929	PRKAG1	12	49002272	49018820	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240266	2970-60	2970-60	AREG	Amphiregulin levels (AREG.2970.60.2)	amphiregulin measurement	http://www.ebi.ac.uk/efo/EFO_0020144	Amphiregulin	374	ENSG00000109321	AREG	4	74444999	74455005	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240267	9979-13	9979-13	AMIGO1	Amphoterin-induced protein 1 levels (AMIGO1.9979.13.3)	amphoterin-induced protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802273	Amphoterin-induced protein 1:Cytoplasmic domain	57463	ENSG00000181754	AMIGO1	1	109503464	109509758	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240268	12401-3	12401-3	STAMBPL1	AMSH-like protease levels (STAMBPL1.12401.3.3)	AMSH-like protease measurement	http://www.ebi.ac.uk/efo/EFO_0802274	AMSH-like protease	57559	ENSG00000138134	STAMBPL1	10	88879363	88975153	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240269	14206-28	14206-28	APBB1	Amyloid beta A4 precursor protein-binding family B member 1 levels (APBB1.14206.28.3)	amyloid beta A4 precursor protein-binding family B member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802275	Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 2	322	ENSG00000166313	APBB1	11	6395111	6419515	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240270	12822-34	12822-34	APBB1	Amyloid beta A4 precursor protein-binding family B member 1 levels (APBB1.12822.34.3)	amyloid beta A4 precursor protein-binding family B member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802275	Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 1	322	ENSG00000166313	APBB1	11	6395111	6419515	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240271	12753-6	12753-6	APBB2	Amyloid beta A4 precursor protein-binding family B member 2 levels (APBB2.12753.6.3)	amyloid beta A4 precursor protein-binding family B member 2 measurement	http://www.ebi.ac.uk/efo/EFO_0801379	Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 1	323	ENSG00000163697	APBB2	4	40810027	41216714	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240272	12761-12	12761-12	APBB2	Amyloid beta A4 precursor protein-binding family B member 2 levels (APBB2.12761.12.3)	amyloid beta A4 precursor protein-binding family B member 2 measurement	http://www.ebi.ac.uk/efo/EFO_0801379	Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 2	323	ENSG00000163697	APBB2	4	40810027	41216714	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240273	13589-10	13589-10	APBB3	Amyloid beta A4 precursor protein-binding family B member 3 levels (APBB3.13589.10.3)	amyloid beta A4 precursor protein-binding family B member 3 measurement	http://www.ebi.ac.uk/efo/EFO_0802276	Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 2, Isoform IV	10307	ENSG00000113108	APBB3	5	140558268	140564781	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240274	3171-57	3171-57	APP	Amyloid beta A4 protein levels (APP.3171.57.2)	amyloid beta A4 protein measurement	http://www.ebi.ac.uk/efo/EFO_0020145	Amyloid beta A4 protein	351	ENSG00000142192	APP	21	25880535	26171128	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240275	10627-87	10627-87	APLP2	Amyloid-like protein 2 levels (APLP2.10627.87.3)	amyloid-like protein 2 measurement	http://www.ebi.ac.uk/efo/EFO_0801380	Amyloid-like protein 2	334	ENSG00000084234	APLP2	11	130068147	130144811	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240276	7915-31	7915-31	APLP2	Amyloid-like protein 2 levels (APLP2.7915.31.3)	amyloid-like protein 2 measurement	http://www.ebi.ac.uk/efo/EFO_0801380	Amyloid-like protein 2	334	ENSG00000084234	APLP2	11	130068147	130144811	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240277	12345-4	12345-4	ANAPC10	Anaphase-promoting complex subunit 10 levels (ANAPC10.12345.4.3)	anaphase-promoting complex subunit 10 measurement	http://www.ebi.ac.uk/efo/EFO_0802277	Anaphase-promoting complex subunit 10	10393	ENSG00000164162	ANAPC10	4	144831908	145098823	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240278	11690-47	11690-47	ANAPC7	Anaphase-promoting complex subunit 7 levels (ANAPC7.11690.47.3)	anaphase-promoting complex subunit 7 measurement	http://www.ebi.ac.uk/efo/EFO_0801381	Anaphase-promoting complex subunit 7	51434	ENSG00000196510	ANAPC7	12	110372506	110403740	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240279	8051-10	8051-10	AGGF1	Angiogenic factor with G patch and FHA domains 1 levels (AGGF1.8051.10.3)	angiogenic factor with G patch and FHA domains 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802278	Angiogenic factor with G patch and FHA domains 1	55109	ENSG00000164252	AGGF1	5	77029251	77065234	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240280	2811-27	2811-27	ANGPT1	Angiopoietin-1 levels (ANGPT1.2811.27.1)	angiopoietin-1 measurement	http://www.ebi.ac.uk/efo/EFO_0020146	Angiopoietin-1	284	ENSG00000154188	ANGPT1	8	107249482	107498055	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240281	3773-15	3773-15	TEK	Angiopoietin-1 receptor, soluble levels (TEK.3773.15.4)	angiopoietin-1 receptor, soluble measurement	http://www.ebi.ac.uk/efo/EFO_0008023	Angiopoietin-1 receptor, soluble	7010	ENSG00000120156	TEK	9	27109030	27232092	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240282	13660-76	13660-76	ANGPT2	Angiopoietin-2 levels (ANGPT2.13660.76.3)	angiopoietin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0006901	Angiopoietin-2	285	ENSG00000091879	ANGPT2	8	6499632	6563436	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240283	2602-2	2602-2	ANGPT2	Angiopoietin-2 levels (ANGPT2.2602.2.2)	angiopoietin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0006901	Angiopoietin-2	285	ENSG00000091879	ANGPT2	8	6499632	6563436	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240284	2500-2	2500-2	ANGPT4	Angiopoietin-4 levels (ANGPT4.2500.2.3)	angiopoietin-4 measurement	http://www.ebi.ac.uk/efo/EFO_0020147	Angiopoietin-4	51378	ENSG00000101280	ANGPT4	20	869900	916335	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240285	7183-102	7183-102	C19orf80	Angiopoietin-like protein 8 levels (C19orf80.7183.102.3)	angiopoietin-like protein 8 measurement	http://www.ebi.ac.uk/efo/EFO_0802279	Angiopoietin-like protein 8	55908	ENSG00000130173	ANGPTL8	19	11237502	11245478	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240286	9092-33	9092-33	ANGPTL1	Angiopoietin-related protein 1 levels (ANGPTL1.9092.33.3)	angiopoietin-related protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801382	Angiopoietin-related protein 1:N-term	9068	ENSG00000116194	ANGPTL1	1	178846840	178872386	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240287	11142-11	11142-11	ANGPTL1	Angiopoietin-related protein 1 levels (ANGPTL1.11142.11.3)	angiopoietin-related protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801382	Angiopoietin-related protein 1:C-Term, Fibrinogen domian	9068	ENSG00000116194	ANGPTL1	1	178846840	178872386	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240288	3281-19	10382-1	ANGPTL3	Angiopoietin-related protein 3 levels (ANGPTL3.3281.19.1)	angiopoietin-related protein 3 measurement	http://www.ebi.ac.uk/efo/EFO_0020148	Angiopoietin-related protein 3	27329	ENSG00000132855	ANGPTL3	1	62597464	62607699	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_gene_name	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to SomaScan.db gene_name	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240288	3281-19	10391-1	ANGPTL3	Angiopoietin-related protein 3 levels (ANGPTL3.3281.19.1)	angiopoietin-related protein 3 measurement	http://www.ebi.ac.uk/efo/EFO_0020148	Angiopoietin-related protein 3	27329	ENSG00000132855	ANGPTL3	1	62597464	62607699	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_gene_name	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to SomaScan.db gene_name	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240289	3796-79	3796-79	ANGPTL4	Angiopoietin-related protein 4 levels (ANGPTL4.3796.79.2)	angiopoietin-related protein 4 measurement	http://www.ebi.ac.uk/efo/EFO_0020149	Angiopoietin-related protein 4	51129	ENSG00000167772	ANGPTL4	19	8363223	8374371	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240290	6371-50	6371-50	ANGPTL7	Angiopoietin-related protein 7 levels (ANGPTL7.6371.50.3)	angiopoietin-related protein 7 measurement	http://www.ebi.ac.uk/efo/EFO_0802280	Angiopoietin-related protein 7	10218	ENSG00000171819	ANGPTL7	1	11189348	11195981	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240291	3710-49	3710-49	PLG	Angiostatin levels (PLG.3710.49.2)	angiostatin measurement	http://www.ebi.ac.uk/efo/EFO_0008024	Angiostatin	5340	ENSG00000122194	PLG	6	160702105	160754469	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240292	2805-6	2805-6	ACE2	Angiotensin-converting enzyme 2 levels (ACE2.2805.6.2)	angiotensin-converting enzyme 2 measurement	http://www.ebi.ac.uk/efo/EFO_0020150	Angiotensin-converting enzyme 2	59272	ENSG00000130234	ACE2	X	15494290	15607236	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240293	12445-50	12445-50	ANKRD27	Ankyrin repeat domain-containing protein 27 levels (ANKRD27.12445.50.3)	ankyrin repeat domain-containing protein 27 measurement	http://www.ebi.ac.uk/efo/EFO_0802281	Ankyrin repeat domain-containing protein 27	84079	ENSG00000105186	ANKRD27	19	32597000	32676597	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240294	7851-30	7851-30	ANKRD46	Ankyrin repeat domain-containing protein 46 levels (ANKRD46.7851.30.3)	ankyrin repeat domain-containing protein 46 measurement	http://www.ebi.ac.uk/efo/EFO_0802282	Ankyrin repeat domain-containing protein 46	157567	ENSG00000186106	ANKRD46	8	100509752	100559789	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240295	7624-19	7624-19	ANK2	Ankyrin-2 levels (ANK2.7624.19.3)	ankyrin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0021874	Ankyrin-2	287	ENSG00000145362	ANK2	4	112818032	113384237	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240296	4960-72	4960-72	ANXA1	Annexin A1 levels (ANXA1.4960.72.1)	annexin A1 measurement	http://www.ebi.ac.uk/efo/EFO_0008026	Annexin A1	301	ENSG00000135046	ANXA1	9	73148874	73170691	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240297	13605-16	13605-16	ANXA10	Annexin A10 levels (ANXA10.13605.16.3)	annexin A10 measurement	http://www.ebi.ac.uk/efo/EFO_0801383	Annexin A10	11199	ENSG00000109511	ANXA10	4	168092537	168187736	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240298	13700-10	13700-10	ANXA2	Annexin A2 levels (ANXA2.13700.10.3)	annexin A2 measurement	http://www.ebi.ac.uk/efo/EFO_0008027	Annexin A2	302	ENSG00000182718	ANXA2	15	60347134	60402883	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240299	4961-17	4961-17	ANXA2	Annexin A2 levels (ANXA2.4961.17.1)	annexin A2 measurement	http://www.ebi.ac.uk/efo/EFO_0008027	Annexin A2	302	ENSG00000182718	ANXA2	15	60347134	60402883	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
